name,weight,height,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,id,power_score,strong
munchlax,1050,6,78,normal,135,85,40,40,85,5,446,390,False
hoothoot,212,7,52,normal,60,30,30,36,56,50,163,262,False
lanturn,225,12,161,water,125,58,58,76,76,67,171,460,False
primarina,440,18,239,water,80,74,74,126,116,60,730,530,True
barboach,19,4,58,water,50,48,43,46,41,60,339,288,False
seedot,40,5,44,grass,40,40,50,30,30,30,273,220,False
yungoos,60,4,51,normal,48,70,30,30,30,45,734,253,False
sobble,40,3,62,water,50,40,40,70,40,70,816,310,False
cherrim,93,5,158,grass,70,60,70,87,78,85,421,450,False
bellossom,58,4,221,grass,75,80,95,90,100,50,182,490,False
whismur,163,6,48,normal,64,51,23,51,23,28,293,240,False
sunkern,18,3,36,grass,30,30,30,30,30,30,191,180,False
delcatty,326,11,140,normal,70,65,65,55,55,90,301,400,False
budew,12,2,56,grass,40,30,35,50,70,55,406,280,False
wishiwashi-solo,3,2,61,water,45,20,20,25,25,40,746,175,False
tropius,1000,20,161,grass,99,68,83,72,87,51,357,460,False
popplio,75,4,64,water,50,54,54,66,56,40,728,320,False
clamperl,525,4,69,water,35,64,85,74,55,32,366,345,False
porygon,365,8,79,normal,65,60,70,85,75,40,137,395,False
vigoroth,465,14,154,normal,80,80,80,55,55,90,288,440,False
illumise,177,6,151,bug,65,47,75,73,85,85,314,430,False
grookey,50,3,62,grass,50,65,50,40,40,65,810,310,False
deerling,195,6,67,normal,60,60,50,40,50,75,585,335,False
pineco,72,6,58,bug,50,65,90,35,35,15,204,290,False
staravia,155,6,119,normal,55,75,50,40,40,80,397,340,False
tirtouga,165,7,71,water,54,78,103,53,45,22,564,355,False
raboot,90,6,147,fire,65,86,60,55,60,94,814,420,False
wugtrio,54,12,149,water,35,100,50,50,70,120,961,425,False
abra,195,9,62,psychic,25,20,15,105,55,90,63,310,False
shiftry,596,13,216,grass,90,100,60,90,60,80,275,480,False
lurantis,185,9,168,grass,70,105,90,80,90,45,754,480,False
skiddo,310,9,70,grass,66,65,48,62,57,52,672,350,False
crawdaunt,328,11,164,water,63,120,85,90,55,55,342,468,False
bulbasaur,69,7,64,grass,45,49,49,65,65,45,1,318,False
metapod,99,7,72,bug,50,20,55,25,25,30,11,205,False
azumarill,285,8,189,water,100,50,80,60,80,50,184,420,False
ledyba,108,10,53,bug,40,20,30,40,80,55,165,265,False
simipour,290,10,174,water,75,98,63,98,63,101,516,498,False
horsea,80,4,59,water,30,40,70,70,25,60,116,295,False
basculin-red-striped,180,10,161,water,70,92,65,80,55,98,550,460,False
kangaskhan,800,22,172,normal,105,95,80,40,80,90,115,490,False
wingull,95,6,54,water,40,30,30,55,30,85,278,270,False
wiglett,18,12,49,water,10,55,25,35,25,95,960,245,False
drampa,1850,30,170,normal,78,60,85,135,91,36,780,485,False
floatzel,335,11,173,water,85,105,55,85,50,115,419,495,False
forretress,1258,12,163,bug,75,90,140,60,60,40,205,465,False
cacnea,513,4,67,grass,50,85,40,85,40,35,331,335,False
jigglypuff,55,5,95,normal,115,45,20,45,25,20,39,270,False
flapple,10,3,170,grass,70,110,80,95,60,70,841,485,False
shellder,40,3,61,water,30,65,100,45,25,40,90,305,False
furfrou,280,12,165,normal,75,80,60,65,90,102,676,472,False
kadabra,565,13,140,psychic,40,35,30,120,70,105,64,400,False
arctovish,1750,20,177,water,90,90,100,80,90,55,883,505,True
taillow,23,3,54,normal,40,55,30,30,30,85,276,270,False
wigglytuff,120,10,196,normal,140,70,45,85,50,45,40,435,False
keldeo-ordinary,485,14,261,water,91,72,90,129,90,108,647,580,True
larvesta,288,11,72,bug,55,85,55,50,55,60,636,360,False
ursaring,1258,18,175,normal,90,130,75,75,75,55,217,500,False
wooper,85,4,42,water,55,45,45,25,25,15,194,210,False
jellicent,1350,22,168,water,100,60,70,85,105,60,593,480,False
snover,505,10,67,grass,60,62,50,62,60,40,459,334,False
clauncher,83,5,66,water,50,53,62,58,63,44,692,330,False
quaxwell,215,12,144,water,70,85,65,65,60,65,913,410,False
starly,20,3,49,normal,40,55,30,30,30,60,396,245,False
accelgor,253,8,173,bug,80,70,40,100,60,145,617,495,False
wailord,3980,145,175,water,170,90,45,90,45,60,321,500,False
cacturne,774,13,166,grass,70,115,60,115,60,55,332,475,False
veluza,900,25,167,water,90,102,73,78,65,70,976,478,False
totodile,95,6,63,water,50,65,64,44,48,43,158,314,False
heracross,540,15,175,bug,80,125,75,40,95,85,214,500,False
spearow,20,3,52,normal,40,60,30,31,31,70,21,262,False
