Credito,PI,SP,EI
CRED_0678,0.1055,0.4418,4413089
CRED_0679,0.2427,0.3041,2847921
CRED_0680,0.2177,0.617,4424142
CRED_0681,0.2061,0.4077,319160
CRED_0682,0.0719,0.7854,2619931
CRED_0683,0.051,0.5846,491904
CRED_0684,0.1705,0.6935,628526
CRED_0685,0.2331,0.2795,887393
CRED_0686,0.1436,0.7172,3395503
CRED_0687,0.1472,0.7537,864422
CRED_0688,0.0772,0.4922,784983
CRED_0689,0.1947,0.5638,2313429
CRED_0690,0.0549,0.6589,3185812
CRED_0691,0.0877,0.3049,4325115
CRED_0692,0.1121,0.5015,2926280
CRED_0693,0.1318,0.4392,2988687
CRED_0694,0.0682,0.2878,1466842
CRED_0695,0.0376,0.4205,2381256
CRED_0696,0.1565,0.2409,3739024
CRED_0697,0.0793,0.2155,4446650
CRED_0698,0.1495,0.2811,3752418
CRED_0699,0.047,0.7779,2331608
CRED_0700,0.1255,0.5297,3980010
CRED_0701,0.1378,0.7795,3691771
CRED_0702,0.0224,0.4595,4129441
CRED_0703,0.0908,0.3871,1010652
CRED_0704,0.0423,0.5037,2238370
CRED_0705,0.0252,0.4637,1598485
CRED_0706,0.2476,0.2634,1617343
CRED_0707,0.0874,0.5845,3375495
CRED_0708,0.2044,0.3296,3435744
CRED_0709,0.0711,0.5718,805612
CRED_0710,0.1736,0.5901,4044528
CRED_0711,0.1925,0.2912,2126475
CRED_0712,0.153,0.2368,2191912
CRED_0713,0.1232,0.6685,3194311
CRED_0714,0.1088,0.4759,335622
CRED_0715,0.0937,0.2349,2012889
CRED_0716,0.2331,0.7969,1956862
CRED_0717,0.2093,0.2347,4076390
CRED_0718,0.2416,0.617,1446436
CRED_0719,0.0398,0.7902,717540
CRED_0720,0.1854,0.3435,2245690
CRED_0721,0.2352,0.2853,1638236
CRED_0722,0.0535,0.2728,4755815
CRED_0723,0.026,0.382,3032410
CRED_0724,0.1879,0.2606,1454355
CRED_0725,0.1479,0.6153,2725480
CRED_0726,0.212,0.2374,3474083
CRED_0727,0.0435,0.5057,2514722
CRED_0728,0.2009,0.798,2951092
CRED_0729,0.0584,0.6884,2300229
CRED_0730,0.0493,0.5691,1572534
CRED_0731,0.0494,0.3838,1772907
CRED_0732,0.2055,0.5743,2565967
CRED_0733,0.1696,0.5162,4725112
CRED_0734,0.1355,0.4557,2920574
CRED_0735,0.0961,0.2784,2938939
CRED_0736,0.2205,0.732,4036280
CRED_0737,0.1042,0.4699,2094940
CRED_0738,0.206,0.3168,2149409
CRED_0739,0.1154,0.4207,3222382
CRED_0740,0.1005,0.4485,3931857
CRED_0741,0.121,0.6965,4587871
CRED_0742,0.0823,0.6402,341464
CRED_0743,0.1894,0.6616,4789400
CRED_0744,0.1307,0.2066,2723829
CRED_0745,0.0657,0.4497,168581
CRED_0746,0.2259,0.4888,3902256
CRED_0747,0.1021,0.2115,388540
CRED_0748,0.1405,0.3559,551590
CRED_0749,0.2276,0.6562,1468412
CRED_0750,0.1598,0.2823,3410492
CRED_0751,0.0381,0.5212,1680369
CRED_0752,0.2356,0.3291,922328
CRED_0753,0.1606,0.2073,4859479
CRED_0754,0.0904,0.3447,3160691
CRED_0755,0.0434,0.7855,1408097
CRED_0756,0.2006,0.6809,3350354
CRED_0757,0.1588,0.7757,1344315
CRED_0758,0.138,0.4927,2625508
CRED_0759,0.2245,0.2658,2426219
CRED_0760,0.1993,0.5288,1408311
CRED_0761,0.0464,0.4726,4560784
CRED_0762,0.0848,0.7066,1339467
CRED_0763,0.0696,0.2588,214074
CRED_0764,0.1885,0.4929,2620466
CRED_0765,0.018,0.29,3705180
CRED_0766,0.1468,0.3948,4533120
CRED_0767,0.193,0.6424,840645
CRED_0768,0.2204,0.4856,3337093
CRED_0769,0.0921,0.4255,1067481
CRED_0770,0.2071,0.4367,3644804
CRED_0771,0.0366,0.4757,112507
CRED_0772,0.2131,0.671,1155710
CRED_0773,0.0406,0.7353,2388377
CRED_0774,0.1053,0.7732,4437373
CRED_0775,0.2014,0.6721,856564
CRED_0776,0.046,0.3892,3968949
CRED_0777,0.065,0.6129,1659473
CRED_0778,0.1833,0.4626,1761952
CRED_0779,0.1828,0.3528,787954
CRED_0780,0.1639,0.7045,2958056
CRED_0781,0.1765,0.2231,757173
CRED_0782,0.1403,0.7411,4560579
CRED_0783,0.0704,0.4769,729447
CRED_0784,0.093,0.5823,1111404
CRED_0785,0.0536,0.5956,3030248
CRED_0786,0.228,0.7371,2663987
CRED_0787,0.15,0.582,2803913
CRED_0788,0.1062,0.5684,2585232
CRED_0789,0.1209,0.24,2428907
CRED_0790,0.2373,0.511,4582688
CRED_0791,0.0468,0.2901,2879915
CRED_0792,0.1507,0.6425,2413162
CRED_0793,0.1314,0.5073,4931909
CRED_0794,0.1567,0.6081,965113
CRED_0795,0.0143,0.225,2742794
CRED_0796,0.2193,0.2509,2261549
CRED_0797,0.2337,0.6298,2395704
CRED_0798,0.1456,0.2433,4631025
CRED_0799,0.1772,0.2428,473332
CRED_0800,0.2314,0.2073,342575
CRED_0801,0.1797,0.7739,1509700
CRED_0802,0.0466,0.6425,79336
CRED_0803,0.1483,0.412,3251078
CRED_0804,0.1556,0.3779,1692425
CRED_0805,0.1118,0.4098,2657622
CRED_0806,0.1867,0.6648,1936963
CRED_0807,0.2342,0.5968,2822605
CRED_0808,0.2321,0.3111,1497947
CRED_0809,0.1182,0.3045,4226426
CRED_0810,0.0372,0.259,3906756
CRED_0811,0.2464,0.5962,1548339
CRED_0812,0.2113,0.6586,726296
CRED_0813,0.0399,0.359,429039
CRED_0814,0.231,0.2126,578714
CRED_0815,0.2188,0.2493,2961190
CRED_0816,0.1345,0.7807,4685352
CRED_0817,0.1519,0.3773,602439
CRED_0818,0.1058,0.6615,4192535
CRED_0819,0.0231,0.5748,323452
CRED_0820,0.0904,0.4292,828883
CRED_0821,0.2027,0.3234,4421047
CRED_0822,0.0111,0.2728,4993772
CRED_0823,0.09,0.569,2239921
CRED_0824,0.1056,0.6648,3248156
CRED_0825,0.139,0.5863,4872139
CRED_0826,0.2308,0.5182,812371
CRED_0827,0.0931,0.2252,3307945
CRED_0828,0.0933,0.7811,3818950
CRED_0829,0.187,0.6792,192980
CRED_0830,0.1185,0.3757,4746671
CRED_0831,0.0639,0.788,2484003
CRED_0832,0.1186,0.5611,307354
CRED_0833,0.0438,0.5495,3256943
CRED_0834,0.0523,0.6488,1967160
CRED_0835,0.1296,0.6871,3365258
CRED_0836,0.1105,0.5939,4421545
CRED_0837,0.2296,0.2769,2285883
CRED_0838,0.097,0.403,2600982
CRED_0839,0.1493,0.7569,814265
CRED_0840,0.1617,0.3348,358617
CRED_0841,0.0131,0.4233,3030346
CRED_0842,0.1692,0.4592,794748
CRED_0843,0.0527,0.4636,3686562
CRED_0844,0.2407,0.5678,2104410
CRED_0845,0.0457,0.7658,2527748
CRED_0846,0.1095,0.3444,784275
CRED_0847,0.0305,0.2729,1347819
CRED_0848,0.2492,0.3185,1084186
CRED_0849,0.1305,0.7322,648506
CRED_0850,0.1529,0.5875,606718
CRED_0851,0.0261,0.3715,1646853
CRED_0852,0.19,0.6896,402414
CRED_0853,0.0604,0.7168,3013944
CRED_0854,0.2255,0.7079,2397693
CRED_0855,0.0592,0.7514,2813545
CRED_0856,0.0558,0.3513,3566144
CRED_0857,0.0188,0.653,3998401
CRED_0858,0.1233,0.4763,174932
CRED_0859,0.1456,0.7052,318083
CRED_0860,0.0258,0.6371,1801498
CRED_0861,0.1961,0.6659,3927809
CRED_0862,0.1188,0.5937,4926709
CRED_0863,0.1359,0.3065,1608426
CRED_0864,0.1158,0.527,3280431
CRED_0865,0.1062,0.7908,2642316
CRED_0866,0.1443,0.7624,339220
CRED_0867,0.0473,0.2259,4026765
CRED_0868,0.0537,0.2989,1445285
CRED_0869,0.2168,0.279,4726029
CRED_0870,0.2371,0.6356,2972705
CRED_0871,0.0996,0.6907,2714749
CRED_0872,0.075,0.3281,4049453
CRED_0873,0.1646,0.5035,1456978
CRED_0874,0.1081,0.7044,2971989
CRED_0875,0.0161,0.6397,1034156
CRED_0876,0.0475,0.5253,3763543
CRED_0877,0.1818,0.5542,913659
CRED_0878,0.1681,0.505,4993082
CRED_0879,0.0165,0.3785,2287035
CRED_0880,0.0633,0.539,1253920
CRED_0881,0.0655,0.6133,3158591
CRED_0882,0.1713,0.724,3660954
CRED_0883,0.0147,0.5818,797852
CRED_0884,0.035,0.6567,1206618
CRED_0885,0.202,0.296,3961147
CRED_0886,0.0529,0.4769,1157810
CRED_0887,0.1667,0.2056,862283
CRED_0888,0.0672,0.348,2964863
CRED_0889,0.0339,0.6359,1871367
CRED_0890,0.0684,0.7951,3422863
CRED_0891,0.1833,0.2595,2949033
CRED_0892,0.2154,0.4409,4582669
CRED_0893,0.2093,0.68,1628315
CRED_0894,0.1053,0.3224,1399590
CRED_0895,0.1703,0.5331,3554438
CRED_0896,0.0592,0.6398,4630197
CRED_0897,0.0804,0.5696,3095529
CRED_0898,0.2251,0.3128,2275541
CRED_0899,0.0131,0.4132,2861139
CRED_0900,0.0305,0.6703,1519793
CRED_0901,0.0599,0.5325,4540512
CRED_0902,0.0164,0.2031,4994490
CRED_0903,0.0535,0.6566,2947706
CRED_0904,0.1499,0.2212,3251473
CRED_0905,0.1111,0.6474,1148657
CRED_0906,0.2242,0.3215,976215
CRED_0907,0.2062,0.7748,3083449
CRED_0908,0.092,0.4208,1499991
CRED_0909,0.0723,0.3962,2561910
CRED_0910,0.1011,0.2893,474528
CRED_0911,0.1517,0.3834,2585610
CRED_0912,0.0743,0.726,2765223
CRED_0913,0.1598,0.7978,662181
CRED_0914,0.1083,0.421,3695525
CRED_0915,0.1425,0.4692,1700824
CRED_0916,0.1147,0.6332,189227
CRED_0917,0.0807,0.7317,1823055
CRED_0918,0.2376,0.5558,742137
CRED_0919,0.1933,0.4349,331854
CRED_0920,0.0436,0.4476,4924196
CRED_0921,0.2184,0.6174,710327
CRED_0922,0.127,0.2019,1707153
CRED_0923,0.2247,0.5718,4395398
CRED_0924,0.202,0.4133,1535255
CRED_0925,0.1121,0.6765,4206004
CRED_0926,0.0154,0.2558,1856684
CRED_0927,0.0745,0.5529,1859858
CRED_0928,0.14,0.4886,529083
CRED_0929,0.162,0.5854,1444316
CRED_0930,0.0719,0.2389,1951740
CRED_0931,0.0434,0.548,4312627
CRED_0932,0.2104,0.5369,4634946
CRED_0933,0.2463,0.5364,2345936
CRED_0934,0.1362,0.5621,4351400
CRED_0935,0.0512,0.6059,4691094
CRED_0936,0.0754,0.683,2757184
CRED_0937,0.0144,0.3619,2962066
CRED_0938,0.2294,0.695,3820771
CRED_0939,0.0383,0.499,1590724
CRED_0940,0.1484,0.2462,2015730
CRED_0941,0.0758,0.2351,4612530
CRED_0942,0.143,0.4005,4370614
CRED_0943,0.1663,0.6709,4133290
CRED_0944,0.2091,0.6246,725673
CRED_0945,0.0595,0.6732,4112224
CRED_0946,0.0126,0.5104,1938529
CRED_0947,0.0429,0.4641,1144316
CRED_0948,0.226,0.2885,4350915
CRED_0949,0.2197,0.3969,1686675
CRED_0950,0.1534,0.4604,756673
CRED_0951,0.1541,0.2532,851849
CRED_0952,0.1696,0.3324,1778665
CRED_0953,0.0521,0.5589,1211068
CRED_0954,0.2295,0.6414,1085891
CRED_0955,0.1105,0.799,803494
CRED_0956,0.102,0.7599,473177
CRED_0957,0.1345,0.5855,692762
CRED_0958,0.0213,0.4527,817876
CRED_0959,0.0499,0.5817,3754697
CRED_0960,0.1871,0.6714,1256184
CRED_0961,0.0299,0.271,1810511
CRED_0962,0.1548,0.4459,4634074
CRED_0963,0.0689,0.7039,3591815
CRED_0964,0.1034,0.4303,96002
CRED_0965,0.0793,0.5431,4660146
CRED_0966,0.0954,0.5527,765339
CRED_0967,0.1826,0.3107,4189289
CRED_0968,0.0813,0.4173,1834006
CRED_0969,0.1459,0.4007,4963478
CRED_0970,0.1243,0.2157,678889
CRED_0971,0.1693,0.2145,2417108
CRED_0972,0.2348,0.699,4639699
CRED_0973,0.1858,0.3638,3894886
CRED_0974,0.0616,0.5108,975779
CRED_0975,0.0175,0.3792,2579832
CRED_0976,0.0729,0.7644,3369151
CRED_0977,0.1528,0.3556,275391
CRED_0978,0.0223,0.4578,241387
CRED_0979,0.1291,0.7236,3682632
CRED_0980,0.1532,0.7052,4658474
CRED_0981,0.0902,0.3117,2834067
CRED_0982,0.195,0.6816,1424073
CRED_0983,0.0356,0.4749,2585394
CRED_0984,0.028,0.4898,4607220
CRED_0985,0.1848,0.2801,4422352
CRED_0986,0.1289,0.2484,1474663
CRED_0987,0.1752,0.6368,2519146
CRED_0988,0.1144,0.4979,3341070
CRED_0989,0.0691,0.4621,736268
CRED_0990,0.2066,0.6377,851955
CRED_0991,0.2019,0.6593,1161009
CRED_0992,0.1767,0.2953,2063148
CRED_0993,0.0753,0.5661,4517223
CRED_0994,0.1517,0.2812,1569593
CRED_0995,0.0966,0.6508,2494291
CRED_0996,0.032,0.5942,197745
CRED_0997,0.2302,0.774,3842824
CRED_0998,0.0428,0.2414,1780992
CRED_0999,0.2381,0.2342,187686
CRED_1000,0.117,0.3693,2117636
