cc,desciel,dirvienc,dirvieng,dloc,ndia,prec,probprec,tmax,tmin,velvien,idmun,ides
53.07,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.2,10.1,6.7,112,20
67.41,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,28.5,13.5,8.6,113,20
81.23,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,28.4,13.4,7.8,113,20
79.86,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,29.1,15.4,7.7,113,20
70.11,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,28.4,15.3,7.3,113,20
66.04,Despejado    ,Oeste   ,270,2024/11/26,Martes         ,0,0,19.9,5.9,6.8,114,20
87,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.7,6.2,6.9,114,20
92.58,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.3,8.7,5.5,114,20
82.6,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,21.1,8.1,5.9,114,20
75.3,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,29.9,18.7,6.2,32,7
70.87,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0.3,0,29.5,19.3,5.1,32,7
86,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0.4,0,28.9,18.8,5.7,32,7
74.76,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0.1,0,29,18.6,6.1,32,7
57.71,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,23.3,9.6,6.3,116,20
85.55,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.2,9.2,7.2,116,20
88.1,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.5,11.6,4.5,116,20
80.76,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,24,12.6,5.3,116,20
67.48,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,29.6,15.7,9.6,117,20
78.85,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,29,15.6,8.9,117,20
78.79,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,29.7,17.1,8.5,117,20
67.54,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,29.2,17.2,8.8,117,20
83.51,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.9,5.3,8.9,119,20
86.09,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,22.7,5.5,6,119,20
89.27,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.1,8.2,6.4,119,20
77.08,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,22.3,7.5,7.4,119,20
70.84,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,18.3,4.8,8,121,20
85.72,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,22.7,4.7,4.9,121,20
78.83,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,24.7,8.1,4.9,121,20
78.31,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.1,6.3,7.6,121,20
58.74,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,26.2,10.5,8.4,122,20
83.9,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,28.6,10.6,5.9,122,20
94.18,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,30.6,13.4,4.6,122,20
63.02,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,27.8,13,7.2,122,20
87.67,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.2,6.6,7,123,20
86.41,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.6,6.6,4.3,123,20
90.72,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.2,9.4,4.2,123,20
62.7,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.6,8.6,6.2,123,20
60.91,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,31.5,18.2,24,124,20
71.66,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,34,18.8,9,124,20
80.8,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,30.7,18.8,7.8,124,20
57.33,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,33.1,19.3,18.5,124,20
57.02,Despejado    ,Oeste   ,270,2024/11/26,Martes         ,0,0,25.6,10.1,5.5,125,20
83.33,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,27.8,9.9,5.7,125,20
91.48,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,30.4,13.1,4,125,20
62.13,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,27.1,12.3,5.1,125,20
93.55,Medio nublado,Norte   ,0,2024/11/26,Martes         ,1.7,0,24.5,16.6,6,33,7
95,Poco nuboso  ,Sureste ,135,2024/11/27,Miercoles      ,0.1,0,24.6,16.8,4.3,33,7
92.3,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0.2,0,29.8,17.2,3.9,33,7
60.02,Cielo nublado,Noroeste,315,2024/11/29,Viernes        ,0.7,0,22.1,17.5,4.3,33,7
72.59,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,21.7,8.1,6.8,126,20
83.28,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,23.9,8,3.1,126,20
94.38,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,25.6,10.9,4.6,126,20
69.67,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.5,9.4,6.7,126,20
64.38,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,29.4,22.8,44.6,130,20
74.72,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,30.7,22.3,23.1,130,20
74.87,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,28.4,22.2,11,130,20
60.78,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,29.8,23.4,44.7,130,20
59.28,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,24.2,8.3,8.1,131,20
83.9,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.9,8.2,5.2,131,20
94.85,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27.8,11.3,5.4,131,20
57.02,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,10.4,7.4,131,20
86.88,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,23.2,8.5,7.3,133,20
86.91,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,22.9,8.4,5.6,133,20
89.15,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,24.1,10.4,6.2,133,20
78.89,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.9,10.4,5.9,133,20
53.43,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,25.8,13.8,6.4,134,20
84.04,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.6,13.3,6.6,134,20
86.09,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.1,14.5,5.7,134,20
74.75,Poco nuboso  ,Este    ,90,2024/11/29,Viernes        ,0,0,26.4,16.3,5.1,134,20
85.03,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,22.4,5.3,7.6,135,20
87.18,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.3,5.4,1.8,135,20
91.94,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26,8.5,3.1,135,20
58.79,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,23.9,7.4,6.1,135,20
52.64,Poco nuboso  ,Sureste ,135,2024/11/26,Martes         ,0.1,0,25.1,13.4,3.9,34,7
70.42,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0.1,0,25.8,14.5,3.8,34,7
77.4,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0.1,0,27.1,14.7,5,34,7
67.9,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,26.3,13,4.6,34,7
62.15,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,24.2,10.5,7.4,136,20
88.65,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.5,10.2,7.9,136,20
84.76,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28,12.5,6.5,136,20
76.78,Poco nuboso  ,Noreste ,45,2024/11/29,Viernes        ,0,0,25,13.3,5.2,136,20
92.85,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,23.7,7,9.7,137,20
91.37,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,24,6.9,5.4,137,20
89.66,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.2,9.9,5.8,137,20
77.91,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,25.2,9.6,7.1,137,20
70.59,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,33.4,20.7,16.7,141,20
76.37,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,33.5,21,9.1,141,20
77.77,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,30.5,21,8.1,141,20
60.4,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,33.4,21,20.2,141,20
72.14,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,33.5,20.4,14.5,143,20
74.1,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,33.6,20.7,7.8,143,20
81.23,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,30.8,20.8,7.7,143,20
63.87,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,33.5,20.8,17.5,143,20
82.29,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,19.1,4.8,10.1,144,20
86.51,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,23.1,4.7,4.7,144,20
81.63,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.5,7.6,5.2,144,20
77.38,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,21,6.6,9.1,144,20
64.47,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0.1,0,30.3,20.5,5.3,35,7
73.49,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0.1,0,30.6,21.2,5.7,35,7
90.69,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0.2,0,29.9,20.9,8,35,7
67.11,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0.1,0,29.6,20.5,6.5,35,7
85.45,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,24.7,8,8.6,149,20
84.63,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,25.9,7.8,5.7,149,20
94.5,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26.8,10.9,6.2,149,20
75.7,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,26.4,10.1,6.7,149,20
83.43,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.9,4.4,8,150,20
88.93,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,24,4.5,3.4,150,20
79.98,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,26,8,3.6,150,20
73.5,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,22.6,6.5,7.5,150,20
72.44,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,19.8,6.5,10.4,151,20
92,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,24.4,6.6,4.3,151,20
89.46,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.1,9.1,5.1,151,20
72.68,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,21.5,7.9,10.5,151,20
76.86,Despejado    ,Sureste ,135,2024/11/26,Martes         ,0,0,25.1,9.3,5.7,152,20
80.02,Despejado    ,Sureste ,135,2024/11/27,Miercoles      ,0,0,25.5,9,5.8,152,20
89.17,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0,0,26.8,10.9,5.5,152,20
79.05,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0,0,26.7,11.7,5.9,152,20
67.78,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,29.5,14.5,7,153,20
73.6,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,29.3,14.3,7.2,153,20
80.22,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,30.2,15.8,7.1,153,20
75.24,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,29.6,16.5,6.5,153,20
77.42,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.3,8,8.1,154,20
84.16,Despejado    ,Sureste ,135,2024/11/27,Miercoles      ,0,0,24.5,7.9,3.9,154,20
94.35,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.1,11.1,5.8,154,20
71.56,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,24.2,9.6,7.7,154,20
58.59,Poco nuboso  ,Noreste ,45,2024/11/26,Martes         ,0.1,0,22,10.6,5.4,36,7
72.73,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0.4,0,23.9,12.5,4.9,36,7
78.9,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0.5,0,25,11.9,4.9,36,7
80.21,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0.1,0,23.4,10,5.4,36,7
70.54,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,21.6,7.6,7.1,156,20
89.79,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.2,7.7,7.6,156,20
88.85,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28.1,10.3,6.5,156,20
78.06,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,22.4,9.9,5.6,156,20
77.66,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,25.4,9.3,9.5,159,20
85.14,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,26.5,9.1,6.1,159,20
88.36,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,27.4,12.1,6.4,159,20
79.59,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,27.2,11.5,6.6,159,20
89.09,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,25.7,8.6,10.4,160,20
87.74,Despejado    ,Este    ,90,2024/11/27,Miercoles      ,0,0,25.6,8.4,5.9,160,20
90.64,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.6,10.4,6.2,160,20
73.37,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,27.5,11,9.1,160,20
82.36,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.1,4.2,7.6,161,20
86.62,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.6,4.2,4.4,161,20
74.1,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26,8.1,3.2,161,20
76.56,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,21.6,6.4,7.3,161,20
67.75,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.3,7.7,7.4,162,20
89.43,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.6,7.5,4.4,162,20
91.79,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27.2,10.6,3.6,162,20
55.16,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,9.9,6.6,162,20
88.51,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,27.6,10.1,9.8,165,20
83.87,Despejado    ,Sureste ,135,2024/11/27,Miercoles      ,0,0,26.6,9.8,4.9,165,20
89.1,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,27.5,11.7,5.2,165,20
67.77,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,29.1,12.5,7.7,165,20
63.7,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,29.7,19.9,5.6,37,7
67.3,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0.3,0,29.9,20.7,5.3,37,7
80.99,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0.5,0,29.4,20.3,6.6,37,7
69.34,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0.1,0,29.1,19.9,6.2,37,7
61.75,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,28.3,14.6,5.4,166,20
91.44,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,28.1,14.1,4.9,166,20
88.53,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,29.4,14.7,4.6,166,20
74.38,Medio nublado,Suroeste,225,2024/11/29,Viernes        ,0,0,29,17.1,4.1,166,20
61.77,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,31.8,21.5,7,168,20
66.88,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,31.3,20.7,9.4,168,20
89.14,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,31.7,20.4,9.5,168,20
73.48,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,31.9,21.9,7.3,168,20
61.91,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.4,8.6,5.1,170,20
81.39,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.4,8.4,3.4,170,20
94.78,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.3,11.2,3.7,170,20
62.73,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,24,9.9,5.4,170,20
53.75,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,23.9,10.5,6.8,171,20
84.89,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.4,10.3,7.2,171,20
87.62,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.9,12.7,5.1,171,20
76.01,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,24.6,13.5,5.2,171,20
80.9,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,20.6,5.3,7.5,172,20
87.51,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,22.9,5.4,4.3,172,20
89.63,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.2,7.9,4.4,172,20
79.62,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,22.3,7.3,6.5,172,20
74.36,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,19.2,5.1,5.5,173,20
90.08,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.5,5.9,6.3,173,20
88.6,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,26.3,7.8,4.2,173,20
82.32,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.3,6.8,5.9,173,20
75.53,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.6,5.1,7,175,20
91.69,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,23.9,5.3,6.6,175,20
75.87,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.9,8.3,5.7,175,20
76.85,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,21.9,7.2,6.8,175,20
77.64,Medio nublado,Noreste ,45,2024/11/26,Martes         ,0.5,0,19.6,8.1,5.8,38,7
91.43,Despejado    ,Este    ,90,2024/11/27,Miercoles      ,0,0,22,9,3,38,7
88.87,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,23.8,9.9,1.3,38,7
47.1,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,21.1,6.6,5.1,38,7
64.33,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,18.2,4.9,8,176,20
80.15,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,22.6,5.1,5,176,20
77.26,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,24.8,8.3,5,176,20
73.65,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,19.8,6.5,8.1,176,20
67.27,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.7,6.5,4.6,177,20
79.48,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,24.8,6.3,3,177,20
71.97,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0,0,27.7,10,2.9,177,20
71.73,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.9,9.5,4.8,177,20
79.87,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.8,5,7,179,20
91.33,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,23.9,5.2,5.5,179,20
80.32,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.5,8.2,5.1,179,20
70.93,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,22.3,6.9,6.8,179,20
62.78,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,33.9,20.4,5.9,180,20
69.13,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,32.7,19.4,6.7,180,20
88.02,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,32.9,19.2,6.7,180,20
71.76,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,33.9,20.5,5.8,180,20
72.94,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,23.1,8,10.9,181,20
92.28,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.4,8,4,181,20
86.9,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.3,10.3,5.7,181,20
73.12,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,25.2,9.6,10.3,181,20
61.46,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,23.4,8.9,6.6,182,20
87.88,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.4,8.8,7.2,182,20
84.97,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28.1,11.4,5.2,182,20
79.64,Poco nuboso  ,Noreste ,45,2024/11/29,Viernes        ,0,0,24.2,11.9,5.1,182,20
74.47,Despejado    ,Sureste ,135,2024/11/26,Martes         ,0,0,26.4,9.8,5.3,183,20
78.55,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,26.7,9.4,5.1,183,20
86.5,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,27.9,11.2,4.9,183,20
75.93,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0,0,28.2,12.2,4.8,183,20
59.97,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,28.5,16,5.8,184,20
91.12,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,28,15.4,5.3,184,20
87.12,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,29.1,15.7,4.9,184,20
72.33,Medio nublado,Suroeste,225,2024/11/29,Viernes        ,0.8,0,29.3,18.2,5.6,184,20
65.84,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,32.5,17.6,5.7,185,20
72.99,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,31.4,16.9,6,185,20
90.07,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,31.4,17.3,5.6,185,20
78.76,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,31.9,18.6,5.5,185,20
90.63,Medio nublado,Norte   ,0,2024/11/26,Martes         ,1.3,0,24.4,13.9,4,39,7
90.87,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,26.3,13.7,5.1,39,7
82.37,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,28.9,15,4.8,39,7
33.9,Poco nuboso  ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.1,12.5,4.5,39,7
78.26,Despejado    ,Sureste ,135,2024/11/26,Martes         ,0,0,28.2,10.7,5.7,186,20
80.3,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,27.7,10.2,5.1,186,20
83.22,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,28.9,12.3,4.9,186,20
64.02,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0,0,29.5,13.2,4.4,186,20
58.65,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,22.4,7.8,5.9,187,20
86.39,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25,7.6,7.1,187,20
88.75,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.8,10.5,4.2,187,20
81.82,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.1,11.1,5.3,187,20
73.84,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,31.5,17.2,5.7,188,20
71.98,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,30.5,16.7,6.1,188,20
89.35,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,30.6,17.3,5.7,188,20
83.16,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,31.3,18.7,5.6,188,20
68.75,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,23.3,9.6,7.3,189,20
88.82,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.8,9.5,7.4,189,20
90.77,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28.7,12.2,6.5,189,20
71.46,Poco nuboso  ,Norte   ,0,2024/11/29,Viernes        ,0,0,24,11.9,5.6,189,20
72.86,Despejado    ,Oeste   ,270,2024/11/26,Martes         ,1.6,0,25.5,11.6,6.3,190,20
87.47,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,26.5,11.5,6.3,190,20
91.23,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,31.2,13.2,5.5,190,20
72.01,Poco nuboso  ,Norte   ,0,2024/11/29,Viernes        ,1,0,26.1,13.5,5.9,190,20
80.46,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,21.6,4.9,8.5,193,20
90.75,Despejado    ,Este    ,90,2024/11/27,Miercoles      ,0,0,24.2,5,3.8,193,20
89.95,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.9,8.1,4.9,193,20
67.55,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.3,6.9,7.6,193,20
56,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.4,8,10.1,194,20
82.59,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,26.4,8.3,5.7,194,20
94.99,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,28.6,11.2,6.9,194,20
67.2,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.9,10.6,9.4,194,20
83.22,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.5,5.2,9.5,195,20
86.38,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,23.1,5.2,5.2,195,20
87.19,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.3,7.8,5.9,195,20
77.45,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,22.1,7.3,8.1,195,20
56.95,Cielo nublado,Noroeste,315,2024/11/26,Martes         ,0,0,20.7,13.5,7.2,1,2
51.89,Cielo nublado,Noroeste,315,2024/11/27,Miercoles      ,0.2,0,18.9,12.4,7.3,1,2
29.02,Cielo nublado,Noreste ,45,2024/11/28,Jueves         ,0,0,19.8,12.2,4.6,1,2
