intelligence,strength,speed,durability,combat,power,height_cm,weight_kg
49.9,7.9,20.0,28.2,63.7,76.9,165.1,56.0
62.8,63.2,58.0,75.1,79.7,100.0,175.2,77.1
75.3,18.0,16.9,40.1,29.9,53.4,182.9,85.7
49.9,9.6,7.7,10.3,24.8,27.2,183.1,99.1
75.2,80.0,33.0,80.0,70.2,36.0,197.9,171.2
74.8,18.0,24.9,40.1,70.0,12.7,201.2,203.2
74.4,52.7,59.9,73.9,56.3,45.4,177.8,74.1
88.1,100.2,87.6,94.7,75.1,100.2,192.8,100.8
94.5,99.8,100.2,100.2,85.3,100.0,180.4,77.1
74.4,10.1,17.1,10.1,40.2,6.5,177.8,78.3
56.2,41.8,42.1,60.4,70.2,67.9,178.3,59.0
62.9,10.0,12.0,28.0,48.1,25.0,182.9,81.4
63.0,32.0,32.9,94.7,69.8,51.8,167.9,56.2
62.8,10.0,100.5,60.1,32.3,100.1,182.8,86.2
50.4,9.9,92.1,100.4,20.0,100.2,178.0,70.4
74.8,31.0,37.7,20.1,95.1,48.3,175.0,60.8
50.0,9.9,23.5,27.8,41.8,44.9,173.0,51.7
88.2,36.0,79.0,95.1,95.0,71.1,188.4,107.9
62.9,72.9,42.0,49.8,45.0,100.4,170.1,52.0
50.0,31.6,27.2,31.8,70.1,13.1,185.0,101.3
63.0,32.0,53.1,100.0,64.3,100.2,173.1,64.9
50.2,9.9,47.1,14.0,79.9,76.0,175.2,88.0
74.7,10.4,23.0,28.5,55.9,65.1,167.9,49.6
74.8,10.0,12.2,14.2,80.1,19.1,188.1,108.0
74.9,60.0,65.1,90.1,84.0,95.9,229.4,357.9
63.1,67.1,47.1,55.7,42.3,78.9,188.1,100.9
62.9,32.1,34.6,83.9,64.0,51.0,182.7,382.9
62.8,90.4,67.0,79.9,69.6,99.9,188.0,191.2
93.8,47.9,37.7,60.1,85.1,43.1,180.0,181.4
62.8,7.9,33.2,14.9,79.6,45.0,164.7,58.0
37.6,90.1,52.9,63.6,63.9,100.1,188.1,95.1
62.8,63.1,34.7,78.2,64.0,48.5,169.8,58.1
69.2,94.7,58.0,70.0,84.7,72.9,188.5,125.0
38.1,13.3,25.1,79.8,49.8,66.1,188.1,119.1
37.9,37.7,35.1,95.2,42.0,42.6,184.6,88.8
62.8,80.2,35.1,95.0,84.0,100.0,201.2,216.3
68.9,19.6,33.0,49.9,69.8,24.7,188.6,79.0
38.1,95.1,99.8,99.9,85.0,100.4,190.9,155.4
63.2,9.9,11.7,42.1,85.2,60.1,192.7,110.1
81.1,10.8,26.9,28.0,85.0,29.0,164.9,55.7
63.0,31.9,33.2,95.1,70.0,51.9,168.0,56.1
63.0,14.4,24.9,29.7,100.3,30.1,178.1,83.5
74.8,63.0,35.1,89.9,41.9,100.2,178.2,64.8
75.1,17.8,16.9,40.0,30.0,52.7,183.1,85.9
74.9,79.7,22.8,55.9,42.3,15.5,305.1,900.2
100.2,48.0,38.2,60.0,50.1,48.0,180.2,83.1
50.2,79.9,32.2,80.0,99.9,100.1,167.9,54.1
38.2,80.8,31.8,64.2,53.9,26.0,217.9,157.8
84.3,88.1,70.9,95.0,90.4,99.8,179.9,74.0
24.6,79.7,43.3,90.1,85.1,35.7,196.5,319.8
62.9,100.0,82.9,99.9,100.0,100.1,256.6,173.1
100.0,94.9,92.3,99.8,85.0,99.8,200.9,135.0
49.8,9.9,7.8,100.2,30.0,68.6,187.9,70.3
55.8,100.2,99.8,89.9,31.8,99.7,192.7,100.9
74.9,11.9,23.1,28.4,70.3,19.0,164.9,71.2
49.9,32.0,26.8,31.8,70.1,13.4,184.9,101.2
63.0,48.0,45.2,64.2,83.8,49.1,190.8,87.6
68.9,11.2,33.4,28.1,84.8,26.8,174.9,60.9
69.0,8.1,42.1,50.4,40.1,89.8,170.0,63.0
50.0,9.7,34.8,28.0,27.8,31.0,164.8,52.3
75.1,27.9,12.0,42.0,55.9,55.1,175.1,72.1
50.1,10.1,100.2,28.1,28.1,99.8,184.9,80.8
38.1,10.0,22.8,28.1,42.0,38.2,167.9,54.2
100.2,9.9,12.1,59.9,69.8,42.5,196.5,85.7
62.9,28.3,24.8,9.9,35.3,47.0,170.4,58.6
62.8,31.7,49.7,99.9,99.9,89.3,159.8,134.9
49.9,28.1,49.8,70.0,40.2,79.0,173.1,67.8
55.7,41.9,42.1,60.5,69.8,68.3,178.4,59.0
37.9,80.7,31.9,64.2,54.3,25.8,218.2,158.1
87.9,28.3,35.4,64.7,85.1,99.8,191.2,65.3
63.0,32.4,52.9,38.1,89.7,33.2,178.1,80.9
63.3,13.8,23.2,75.3,64.9,100.1,198.0,124.1
74.8,10.1,22.8,42.4,80.5,75.8,191.0,88.0
49.9,72.9,22.9,84.3,55.6,53.1,196.0,248.6
63.0,16.1,24.9,19.7,80.0,23.2,180.0,83.0
88.1,99.6,100.0,94.9,79.9,87.2,183.3,207.2
80.7,100.0,91.9,94.9,99.9,100.2,167.9,72.8
62.6,32.1,34.9,42.2,85.1,25.0,183.1,105.5
75.2,10.0,23.2,28.2,79.7,21.9,168.0,61.0
44.3,99.8,54.1,99.9,20.0,100.2,10800.3,90718400.1
94.0,80.2,21.0,20.1,69.9,92.0,167.9,52.1
75.0,12.1,22.9,63.9,74.1,64.1,177.9,54.1
50.1,84.9,27.0,90.0,85.3,69.3,198.1,180.0
62.9,27.9,100.0,60.1,55.8,80.9,183.3,79.0
68.6,94.9,57.9,69.9,84.8,73.3,188.0,125.2
75.0,18.0,25.0,40.0,70.0,12.8,200.9,203.4
38.1,27.9,27.0,27.8,31.8,44.1,183.0,77.1
38.1,13.1,24.8,80.0,50.2,65.9,188.3,119.3
62.7,30.0,25.0,85.2,90.0,99.9,212.7,234.1
81.0,90.0,52.8,41.8,80.2,100.1,233.3,324.3
55.8,7.9,22.2,20.0,90.3,66.0,164.9,52.2
87.6,80.3,27.1,84.1,80.2,90.9,188.5,86.0
87.8,8.1,20.8,24.9,70.0,68.8,167.5,49.8
69.1,8.2,41.7,50.2,39.7,90.1,169.8,63.2
75.2,12.0,23.1,27.8,70.0,19.2,165.2,71.2
100.2,85.1,75.1,99.6,80.0,99.8,185.1,85.9
49.8,37.9,50.1,50.2,25.0,62.1,175.1,63.2
49.9,33.8,22.9,28.1,84.8,43.0,191.0,98.9
38.3,27.9,26.9,27.6,31.8,44.0,182.9,76.8
63.2,62.7,34.7,78.3,64.1,47.7,169.9,57.9
38.1,10.0,45.1,28.2,60.3,65.7,162.8,53.7
25.0,53.1,23.3,53.9,55.9,21.1,165.0,54.0
63.4,9.8,22.9,28.2,84.0,54.6,184.8,81.1
63.3,13.2,46.5,64.1,42.0,27.7,183.0,68.0
56.2,9.8,7.9,30.0,9.9,92.1,179.9,74.1
88.1,16.2,30.0,60.3,100.3,41.0,183.2,90.1
63.4,90.2,67.1,79.7,69.7,100.0,188.1,191.1
74.8,10.1,11.6,13.9,55.9,28.2,170.0,60.5
49.9,84.8,99.9,85.1,39.9,99.9,188.1,108.0
49.9,10.1,23.0,28.2,42.1,45.1,173.1,52.1
7.9,63.1,59.9,94.5,84.2,69.1,196.0,104.1
63.0,14.1,24.9,60.0,40.4,100.1,168.0,57.2
75.1,9.7,34.7,41.7,64.9,88.2,170.3,52.2
50.0,32.1,33.1,70.1,63.8,85.1,190.9,105.6
62.9,28.2,24.9,10.2,35.1,47.0,169.9,59.0
49.9,34.3,57.9,56.0,27.9,69.9,175.2,76.2
55.7,99.9,74.9,90.4,100.0,100.0,175.1,61.7
37.9,16.2,34.9,41.8,42.0,26.0,365.8,473.2
100.2,100.1,83.3,100.2,80.1,100.0,167.9,52.2
75.2,12.3,50.1,20.4,100.0,62.6,188.2,98.9
50.1,36.0,23.2,42.0,74.8,27.7,187.9,100.8
88.0,62.8,46.4,85.3,59.8,100.0,192.6,236.0
24.9,52.9,22.8,54.1,56.0,21.2,164.8,53.7
38.0,62.9,22.7,42.0,70.5,52.0,173.0,57.1
75.2,63.4,34.8,89.9,42.0,99.7,177.8,65.3
69.3,10.7,17.2,30.0,74.9,29.9,178.1,76.9
44.1,74.9,46.4,89.7,59.6,100.2,185.2,202.7
63.2,11.1,23.0,70.3,62.0,28.0,180.2,70.2
55.8,32.0,35.2,65.2,84.1,59.9,174.9,117.1
63.2,79.8,25.2,100.1,50.1,97.7,182.9,101.1
50.0,52.7,35.0,74.0,73.8,47.9,198.1,132.8
63.0,62.8,53.1,63.8,70.2,57.9,165.0,53.9
50.0,10.7,52.7,28.1,74.7,70.1,185.0,90.0
63.2,38.0,33.1,100.2,59.7,62.1,187.8,97.1
80.8,13.8,21.1,39.7,40.0,100.0,168.2,50.0
63.0,10.3,47.2,64.4,56.0,99.9,226.0,69.8
49.8,9.8,16.8,19.7,60.3,42.4,183.2,78.8
56.3,41.7,41.8,60.1,70.0,68.3,178.5,58.9
56.0,100.0,71.0,74.9,75.0,47.2,3048.3,9071840.0
38.1,9.8,22.9,27.9,42.0,38.2,168.1,53.9
44.0,10.1,22.9,41.7,41.7,65.9,191.3,94.8
63.1,83.4,32.8,99.8,79.9,45.0,225.8,225.0
49.8,10.0,100.0,28.0,28.0,100.3,185.1,81.4
63.1,32.0,33.0,94.7,70.1,52.1,167.7,55.8
100.1,48.0,46.2,89.8,49.4,100.1,196.2,128.2
38.1,80.0,25.0,100.0,64.0,98.1,193.4,121.7
63.1,31.9,35.0,41.9,85.0,24.7,182.8,106.3
100.0,10.0,18.1,70.2,63.9,33.2,184.9,80.9
50.1,80.0,35.3,70.1,80.3,34.9,168.4,104.6
90.0,55.3,67.1,75.2,85.0,73.9,178.0,74.0
37.9,100.0,82.8,95.1,50.2,55.0,174.9,69.0
55.8,73.1,70.0,83.9,69.7,82.0,188.0,97.4
63.0,11.8,27.2,32.1,42.0,31.1,165.3,49.3
63.1,13.2,46.2,64.1,42.1,28.1,183.1,67.9
56.1,100.0,100.0,90.0,31.9,99.7,193.2,101.4
88.2,10.8,33.1,39.8,89.8,33.6,169.9,57.3
37.8,10.0,45.0,27.8,60.1,65.7,163.1,54.1
38.3,10.1,16.8,45.2,29.8,26.9,180.3,81.1
74.8,10.0,35.0,41.9,64.9,88.3,170.2,52.2
50.0,32.1,27.1,42.2,52.2,69.7,177.7,49.2
88.1,63.1,45.8,84.9,60.3,99.8,193.0,236.5
63.0,8.2,33.1,80.0,79.9,99.9,167.9,51.9
88.0,99.8,79.0,100.3,100.1,100.1,188.1,135.0
37.9,8.0,42.1,20.0,69.7,31.7,163.2,49.8
38.1,81.4,32.0,64.2,54.2,26.2,218.0,158.0
